id,name,coordinates,zip_code,industry_type,general_industry
rWBOXmdnFTnTWc1jBne0Rw,Southern N Smoked,"39.276829, -76.613247",21230,"""Barbeque"", ""Smokehouse"", ""Soul Food""",Food & Dining
6ulR8s_SK3X0wYVQNZ0DSQ,Next Phaze Cafe,"39.291315, -76.613020",21202,"""Cafes"", ""Southern"", ""Seafood""",Food & Dining
s0LPuaTzR9euWzNT52o49Q,Sugarbee's Cafe & Grill,"39.291817, -76.615902",21201,"""American"", ""Wraps"", ""Caribbean""",Food & Dining
kTOlqpQmnA-8nWxE0lbFEA,The Land of Kush,"39.300167, -76.621694",21201,"""Vegan"", ""Soul Food"", ""Juice Bars & Smoothies""",Food & Dining
_-kMik32dINn2Xas6YvRzA,The Ivy Hotel,"39.303517, -76.612873",21202,"""Hotels""",Travel & Hospitality
PCU5mBJn44Nfj571TgkhmA,Water for Chocolate,"39.290320, -76.590500",21231,"""Breakfast & Brunch"", ""Southern"", ""Cafes""",Food & Dining
KwurOIbMLjJXLG65bVDafw,Posi's Kitchen,"39.301710, -76.614470",21202,"""African"", ""Tapas/Small Plates""",Food & Dining
v51LpFcxFm_iv7HATPwmEA,Rooted Rotisserie,"39.287778, -76.635754",21223,"""French"", ""Chicken Shop"", ""American""",Food & Dining
PiuD3MDAuPEBzCxMFVhKUg,Rosa's Bar & Grill,"39.278100, -76.612795",21230,"""Bars"", ""American""",Food & Dining
OL59Fpsp_xcNMsj78DyiFQ,Garden Rooftop,"39.294353, -76.622409",21201,"""New American"", ""Hookah Bars"", ""Cocktail Bars""",Food & Dining
yllFleLLvGVm9dZ-dRFZHg,Papi Cuisine,"39.268619, -76.612778",21230,"""Cocktail Bars"", ""Seafood"", ""Caribbean""",Food & Dining
KH917Qdpl9C-3TP_U5yojA,Everyone's Place African Cultural Center,"39.310450, -76.639900",21217,"""Bookstores""",Retail & Shopping
LGkpPF_0qonTDVSfPhR9SQ,RYMKS Bar and Grille,"39.287250, -76.602990",21202,"""Soul Food"", ""Sports Bars"", ""Venues & Event Spaces""",Food & Dining
brprkbkx6i3bYG3x9lt1RA,Swill By Blacksmiths,"39.283128, -76.631324",21230,"""Cafes""",Food & Dining
ZzVlHCkTI-ynK4y5UHhjdA,Vegan Juiceology,"39.294433, -76.619276",21201,"""Burgers"", ""Juice Bars & Smoothies""",Food & Dining
SW7bXYvHIbG9rQWf9zHR7A,Teavolve,"39.283171, -76.597827",21231,"""Coffee & Tea"", ""Breakfast & Brunch""",Food & Dining
l1XNqjp5oNqdHRSc1HtilA,Creole Soul Restaurant,"39.321620, -76.622200",21211,"""Cajun/Creole"", ""Soul Food"", ""Southern""",Food & Dining
qLPdCT1uYSdiTdeuzUJW0A,Blacksauce Kitchen,"39.321104, -76.624101",21218,"""Caribbean"", ""Smokehouse"", ""Southern""",Food & Dining
vwAZkj3c6Xylxk8ZycAF8A,Connie's Chicken and Waffles,"39.292375, -76.616049",21201,"""Waffles"", ""Breakfast & Brunch"", ""Southern""",Food & Dining
Y71vU07WBW5qGczn9_Yb7Q,Dovecote Cafe,"39.313714, -76.638648",21217,"""Coffee & Tea"", ""Breakfast & Brunch"", ""Cafes""",Food & Dining
JwMxSwqLVKA1jRVi9cXxxg,Saturday Morning Cafe,"39.286585, -76.602131",21202,"""Breakfast & Brunch"", ""New American"", ""Coffee & Tea""",Food & Dining
l0QysjKWxGEULPH3R0MOOA,Connie's Chicken and Waffles,"39.291184, -76.621879",21201,"""Southern"", ""Chicken Wings"", ""Waffles""",Food & Dining
wn2F4YsQKi6SzdZuIKZNQw,Ekiben,"39.330867, -76.631776",21211,"""Asian Fusion"", ""Sandwiches""",Food & Dining
u65W69AhbjUlvJJBkEhGNQ,Miss Shirley's Cafe,"39.287099, -76.605366",21202,"""Breakfast & Brunch"", ""American"", ""Cafes""",Food & Dining
hQ7P1QmGAQ3Ks7MYJnfCDw,Soul Kuisine Cafe,"39.310880, -76.613570",21202,"""Soul Food""",Food & Dining
D72plveORooGm-Mr8rki5g,Nick's Rotisserie,"39.282730, -76.629265",21230,"""Soul Food""",Food & Dining
8Ykwd0rkIA20q-gkYDjL1A,Cuples Tea House,"39.294324, -76.619316",21201,"""Tea Rooms""",Food & Dining
2JFfJU4kcS4eq9oEhYx9Kg,Jerk At Nite,"39.295830, -76.664630",21216,"""Caribbean""",Food & Dining
