geo_level,geo_name,year,state_name,pct_black_alone,pct_with_health_insurance,pct_with_health_insurance_white_alone,pct_with_health_insurance_black_alone,pct_with_health_insurance_asian_alone,pct_with_health_insurance_hispanic,quartiles_pct_with_health_insurance
zcta,27877,2022,,100,50,,50,,,Bottom 25% of geographies
zcta,77036,2022,,11.6,52,61.7,66.4,78.8,42,Bottom 25% of geographies
zcta,77074,2022,,13.4,62,73.2,79.4,81.9,49.6,Bottom 25% of geographies
zcta,76059,2022,,2.4,68,64.1,89.2,80.1,53.5,Bottom 25% of geographies
zcta,31622,2022,,11.7,68,68.7,65.9,,0,Bottom 25% of geographies
zcta,73129,2022,,9,68,71,85.9,65.9,61.3,Bottom 25% of geographies
zcta,30008,2022,,42.6,72,81.7,80.5,87.7,49.2,Bottom 25% of geographies
zcta,77033,2022,,55.7,72,61.1,81,72.7,59.3,Bottom 25% of geographies
zcta,77530,2022,,8.1,72,69.4,77.2,99.8,69.5,Bottom 25% of geographies
county,"Sioux County, North Dakota",2022,North Dakota,0.3,72,88.6,77.8,,76.3,Bottom 25% of geographies
zcta,76117,2022,,7,72,74.9,66.8,85.5,65.2,Bottom 25% of geographies
zcta,76104,2022,,29.6,72,69.9,84.2,90.2,56.6,Bottom 25% of geographies
zcta,66101,2022,,32.4,72,65,84,85.2,57.8,Bottom 25% of geographies
zcta,79563,2022,,2.1,76,76.8,86.4,73.3,77.4,Bottom 25% of geographies
county,"Swain County, North Carolina",2022,North Carolina,1.2,76,85,92.6,50,81.7,Bottom 25% of geographies
zcta,74733,2022,,5.2,76,79.1,69.6,0,35,Bottom 25% of geographies
zcta,75956,2022,,13.5,76,77.5,68.7,,61.4,Bottom 25% of geographies
zcta,75043,2022,,22.9,76,78.4,81.1,82.2,61.2,Bottom 25% of geographies
zcta,74937,2022,,1,76,81.5,62.7,100,56,Bottom 25% of geographies
zcta,72330,2022,,18.2,76,83.6,41.2,,53.2,Bottom 25% of geographies
zcta,77049,2022,,16.4,76,77,82.7,84.2,72.2,Bottom 25% of geographies
zcta,27888,2022,,23.1,76,88.2,43,,81.4,Bottom 25% of geographies
zcta,39665,2022,,30.7,76,80,64.8,,,Bottom 25% of geographies
county,"Hockley County, Texas",2022,Texas,2.9,80,82.8,83.3,100,73.4,Bottom 25% of geographies
zcta,30530,2022,,5.5,80,83.2,56.3,100,57.4,Bottom 25% of geographies
zcta,39203,2022,,92.8,80,75.6,79.9,100,,Bottom 25% of geographies
zcta,39362,2022,,49,80,86,73.4,,,Bottom 25% of geographies
