geo_level,geo_name,year,state_name,pct_black_alone,microsoft_broadband_usage_oct_2020,quartiles_microsoft_broadband_usage_oct_2020
county,"Fairfax city, Virginia",2022,Virginia,5.9,,
county,"Southeastern Connecticut Planning Region, Connecticut",2022,Connecticut,5.8,,
county,"Covington city, Virginia",2022,Virginia,13.5,,
county,"Northeastern Connecticut Planning Region, Connecticut",2022,Connecticut,1.7,,
county,"Lexington city, Virginia",2022,Virginia,5.2,,
county,"South Central Connecticut Planning Region, Connecticut",2022,Connecticut,13.4,,
county,"Northwest Hills Planning Region, Connecticut",2022,Connecticut,4.7,,
county,"Lower Connecticut River Valley Planning Region, Connecticut",2022,Connecticut,5,,
county,"Western Connecticut Planning Region, Connecticut",2022,Connecticut,10,,
county,"Greater Bridgeport Planning Region, Connecticut",2022,Connecticut,12,,
county,"Banner County, Nebraska",2022,Nebraska,0,,
county,"Martinsville city, Virginia",2022,Virginia,45.4,,
county,"Emporia city, Virginia",2022,Virginia,60.6,,
county,"McPherson County, Nebraska",2022,Nebraska,0,,
county,"Capitol Planning Region, Connecticut",2022,Connecticut,12.7,,
county,"Arthur County, Nebraska",2022,Nebraska,0,,
county,"Williamsburg city, Virginia",2022,Virginia,15.2,,
county,"Manassas Park city, Virginia",2022,Virginia,14.7,,
county,"King County, Texas",2022,Texas,0,,
county,"Copper River Census Area, Alaska",2022,Alaska,0,,
county,"Chugach Census Area, Alaska",2022,Alaska,1.6,,
county,"Naugatuck Valley Planning Region, Connecticut",2022,Connecticut,11.6,,
county,"Edgefield County, South Carolina",2022,South Carolina,32.5,20,26-50% of geographies
county,"Anson County, North Carolina",2022,North Carolina,48,20,26-50% of geographies
county,"Scotland County, Missouri",2022,Missouri,0.1,20,26-50% of geographies
county,"Greenup County, Kentucky",2022,Kentucky,0.9,20,26-50% of geographies
county,"Adams County, Washington",2022,Washington,0.2,20,26-50% of geographies
county,"Webster Parish, Louisiana",2022,Louisiana,33.6,20,26-50% of geographies
county,"Calhoun County, Iowa",2022,Iowa,1.2,20,26-50% of geographies
county,"Stafford County, Kansas",2022,Kansas,0.3,20,26-50% of geographies
county,"Clark County, Illinois",2022,Illinois,0.8,20,26-50% of geographies
county,"Monroe County, Georgia",2022,Georgia,21.6,20,26-50% of geographies
county,"McCurtain County, Oklahoma",2022,Oklahoma,7.8,20,26-50% of geographies
county,"Panola County, Texas",2022,Texas,12.6,21,26-50% of geographies
county,"Prince Edward County, Virginia",2022,Virginia,29.9,21,26-50% of geographies
county,"Schuyler County, Illinois",2022,Illinois,3.7,21,26-50% of geographies
county,"Cherokee County, Kansas",2022,Kansas,0.9,21,26-50% of geographies
county,"Louisa County, Virginia",2022,Virginia,13.5,21,26-50% of geographies
county,"Kit Carson County, Colorado",2022,Colorado,0,21,26-50% of geographies
county,"Crook County, Wyoming",2022,Wyoming,0,21,26-50% of geographies
county,"Acadia Parish, Louisiana",2022,Louisiana,16.5,22,26-50% of geographies
county,"Coahoma County, Mississippi",2022,Mississippi,75.9,22,26-50% of geographies
county,"Skagway Municipality, Alaska",2022,Alaska,3.1,22,26-50% of geographies
county,"Dickens County, Texas",2022,Texas,1.9,22,26-50% of geographies
county,"Garfield County, Nebraska",2022,Nebraska,0.5,23,26-50% of geographies
county,"Hudspeth County, Texas",2022,Texas,0.7,23,26-50% of geographies
county,"Morrison County, Minnesota",2022,Minnesota,0.3,23,26-50% of geographies
county,"Chesterfield County, South Carolina",2022,South Carolina,30.8,23,26-50% of geographies
county,"Millard County, Utah",2022,Utah,0.2,24,26-50% of geographies
county,"Laclede County, Missouri",2022,Missouri,0.5,24,26-50% of geographies
county,"Park County, Colorado",2022,Colorado,0.5,24,26-50% of geographies
county,"Hamlin County, South Dakota",2022,South Dakota,0.2,25,26-50% of geographies
county,"Clark County, South Dakota",2022,South Dakota,0.5,25,26-50% of geographies
county,"Marion County, Kansas",2022,Kansas,1.1,25,26-50% of geographies
county,"Saline County, Illinois",2022,Illinois,2.5,25,26-50% of geographies
county,"Montour County, Pennsylvania",2022,Pennsylvania,2.4,25,26-50% of geographies
county,"Gosper County, Nebraska",2022,Nebraska,0.3,26,26-50% of geographies
county,"Clay County, Kentucky",2022,Kentucky,4.2,26,26-50% of geographies
county,"Muhlenberg County, Kentucky",2022,Kentucky,2.3,26,26-50% of geographies
county,"Henderson County, Tennessee",2022,Tennessee,8.2,26,26-50% of geographies
county,"Hocking County, Ohio",2022,Ohio,0.6,26,26-50% of geographies
county,"Sabine County, Texas",2022,Texas,5,26,26-50% of geographies
county,"Cass County, Minnesota",2022,Minnesota,0.5,26,26-50% of geographies
county,"Stanton County, Nebraska",2022,Nebraska,0.5,26,26-50% of geographies
county,"Monroe County, Tennessee",2022,Tennessee,1.8,26,26-50% of geographies
county,"Runnels County, Texas",2022,Texas,3,27,26-50% of geographies
county,"Sheridan County, Montana",2022,Montana,0,27,26-50% of geographies
county,"Clearwater County, Minnesota",2022,Minnesota,0.2,27,26-50% of geographies
county,"Comanche County, Texas",2022,Texas,0.4,27,26-50% of geographies
county,"Snyder County, Pennsylvania",2022,Pennsylvania,0.8,27,26-50% of geographies
county,"Marion County, Kentucky",2022,Kentucky,6.9,27,26-50% of geographies
county,"Barry County, Michigan",2022,Michigan,0.6,27,26-50% of geographies
county,"Vermilion Parish, Louisiana",2022,Louisiana,13.5,28,26-50% of geographies
county,"Bleckley County, Georgia",2022,Georgia,26.3,28,26-50% of geographies
county,"Mercer County, Kentucky",2022,Kentucky,3.5,28,26-50% of geographies
county,"Clay County, Texas",2022,Texas,0.3,29,26-50% of geographies
county,"Union County, Kentucky",2022,Kentucky,8.8,29,26-50% of geographies
county,"Rio Grande County, Colorado",2022,Colorado,0.4,29,26-50% of geographies
county,"Chippewa County, Minnesota",2022,Minnesota,1.1,30,26-50% of geographies
county,"Hancock County, Illinois",2022,Illinois,0.7,30,26-50% of geographies
county,"Grant County, Wisconsin",2022,Wisconsin,1.7,30,26-50% of geographies
county,"Taylor County, Florida",2022,Florida,20.4,31,26-50% of geographies
county,"Sumter County, Georgia",2022,Georgia,51.1,31,26-50% of geographies
county,"Renville County, Minnesota",2022,Minnesota,0.6,31,26-50% of geographies
county,"Lincoln County, Kansas",2022,Kansas,0.2,31,26-50% of geographies
county,"Appanoose County, Iowa",2022,Iowa,0.4,31,26-50% of geographies
county,"Nemaha County, Nebraska",2022,Nebraska,1.6,31,26-50% of geographies
county,"Logan County, Kentucky",2022,Kentucky,5.9,31,26-50% of geographies
county,"Arenac County, Michigan",2022,Michigan,0.6,32,26-50% of geographies
county,"Taylor County, Kentucky",2022,Kentucky,4.4,32,26-50% of geographies
county,"Osceola County, Iowa",2022,Iowa,0.9,32,26-50% of geographies
county,"Stephens County, Texas",2022,Texas,2.9,32,26-50% of geographies
county,"Hot Spring County, Arkansas",2022,Arkansas,11.5,32,26-50% of geographies
county,"Lawrence County, Illinois",2022,Illinois,8,32,26-50% of geographies
county,"Cattaraugus County, New York",2022,New York,1.5,32,26-50% of geographies
county,"Kimble County, Texas",2022,Texas,1.7,32,26-50% of geographies
county,"Harrison County, Texas",2022,Texas,20.6,32,26-50% of geographies
county,"Hockley County, Texas",2022,Texas,2.9,32,26-50% of geographies
county,"Clarion County, Pennsylvania",2022,Pennsylvania,1.6,34,26-50% of geographies
county,"Fillmore County, Minnesota",2022,Minnesota,0.5,34,26-50% of geographies
county,"Van Buren County, Tennessee",2022,Tennessee,0.1,34,26-50% of geographies
county,"Eddy County, North Dakota",2022,North Dakota,0,36,26-50% of geographies
county,"Madera County, California",2022,California,2.6,36,26-50% of geographies
county,"Neosho County, Kansas",2022,Kansas,1.2,36,26-50% of geographies
county,"Lauderdale County, Alabama",2022,Alabama,9.9,36,26-50% of geographies
county,"Washington County, Texas",2022,Texas,18,36,26-50% of geographies
county,"Matagorda County, Texas",2022,Texas,9.9,36,26-50% of geographies
county,"Burnett County, Wisconsin",2022,Wisconsin,0.7,32.5,26-50% of geographies
county,"Morgan County, Utah",2022,Utah,0.6,32.5,26-50% of geographies
county,"Costilla County, Colorado",2022,Colorado,1.1,32.5,26-50% of geographies
county,"Gray County, Kansas",2022,Kansas,0,34.5,26-50% of geographies
county,"Upshur County, Texas",2022,Texas,7.5,34.5,26-50% of geographies
county,"Haakon County, South Dakota",2022,South Dakota,1.8,34.5,26-50% of geographies
county,"Chenango County, New York",2022,New York,0.8,34.5,26-50% of geographies
county,"Teton County, Montana",2022,Montana,0.9,34.5,26-50% of geographies
county,"Terrell County, Texas",2022,Texas,0,34.5,26-50% of geographies
county,"Hill County, Texas",2022,Texas,6.3,34.5,26-50% of geographies
county,"Kleberg County, Texas",2022,Texas,3,34.5,26-50% of geographies
