geo_level,geo_name,year,state_name,pct_black_alone,pop_black_alone,pct_homeownership,pct_homeownership_white_alone,pct_homeownership_black_alone,pct_homeownership_asian_alone,pct_homeownership_hispanic,quartiles_pct_homeownership,pct_change_16_to_22_pct_homeownership_black_alone,buckets_pct_change_16_to_22_pct_homeownership_black_alone
zcta,82335,2022,,,0,,,,,,,,No comparable data available
zcta,20045,2022,,,0,,,,,,,,No comparable data available
zcta,76402,2022,,3.9,28,,,,,,,,No comparable data available
zcta,83121,2022,,,0,,,,,,,,No comparable data available
zcta,79846,2022,,,0,,,,,,,,No comparable data available
zcta,35990,2022,,,0,,,,,,,,No comparable data available
zcta,36130,2022,,,0,,,,,,,,No comparable data available
zcta,11556,2022,,,0,,,,,,,,No comparable data available
zcta,45428,2022,,29.4,84,,,,,,,,No comparable data available
zcta,23302,2022,,,0,,,,,,,,No comparable data available
zcta,07842,2022,,,0,,,,,,,,No comparable data available
zcta,93410,2022,,1.2,78,,,,,,,,No comparable data available
zcta,07703,2022,,,0,,,,,,,,No comparable data available
zcta,37929,2022,,,0,,,,,,,,No comparable data available
zcta,93634,2022,,41.4,12,,,,,,,,No comparable data available
zcta,40979,2022,,,0,,,,,,,,No comparable data available
zcta,08245,2022,,,0,,,,,,,,No comparable data available
zcta,08074,2022,,,0,,,,,,,,No comparable data available
zcta,79016,2022,,9,54,,,,,,,,No comparable data available
zcta,45423,2022,,,0,,,,,,,,No comparable data available
zcta,16475,2022,,46.8,1009,,,,,,,,No comparable data available
zcta,40801,2022,,,0,,,,,,,,No comparable data available
zcta,98950,2022,,42.6,23,,,,,,,,No comparable data available
zcta,27697,2022,,,0,,,,,,,,No comparable data available
zcta,78860,2022,,,0,,,,,,,,No comparable data available
zcta,89070,2022,,35.8,1802,,,,,,,,No comparable data available
zcta,53157,2022,,,0,,,,,,,,No comparable data available
zcta,70457,2022,,12.4,21,,,,,,,,No comparable data available
zcta,77368,2022,,,0,,,,,,,,No comparable data available
zcta,41310,2022,,,0,,,,,,,,No comparable data available
zcta,70163,2022,,,0,,,,,,,,No comparable data available
zcta,31547,2022,,7.9,120,,,,,,,,No comparable data available
zcta,48242,2022,,,0,,,,,,,,No comparable data available
zcta,33620,2022,,11.5,742,,,,,,,,No comparable data available
zcta,72367,2022,,,0,,,,,,,,No comparable data available
zcta,87151,2022,,7.9,100,,,,,,,,No comparable data available
zcta,39324,2022,,,0,,,,,,,,No comparable data available
zcta,20220,2022,,,0,,,,,,,,No comparable data available
zcta,10170,2022,,,0,,,,,,,,No comparable data available
zcta,98505,2022,,5.2,21,,,,,,,,No comparable data available
zcta,74078,2022,,2,9,,,,,,,,No comparable data available
zcta,88244,2022,,4.9,58,,,,,,,,No comparable data available
zcta,05746,2022,,,0,,,,,,,,No comparable data available
zcta,46206,2022,,,0,,,,,,,,No comparable data available
zcta,16546,2022,,5.7,64,,,,,,,,No comparable data available
zcta,13902,2022,,1.3,83,,,,,,,,No comparable data available
zcta,90822,2022,,21.6,27,,,,,,,,No comparable data available
zcta,47021,2022,,,0,,,,,,,,No comparable data available
zcta,56321,2022,,4.9,78,,,,,,,,No comparable data available
zcta,12226,2022,,,0,,,,,,,,No comparable data available
zcta,27533,2022,,30.1,65,,,,,,,,No comparable data available
zcta,70773,2022,,,0,,,,,,,,No comparable data available
zcta,14542,2022,,,0,,,,,,,,No comparable data available
zcta,40536,2022,,,0,,,,,,,,No comparable data available
zcta,58402,2022,,0.9,1,,,,,,,,No comparable data available
zcta,88009,2022,,0,0,,,,,,,,No comparable data available
zcta,82422,2022,,,0,,,,,,,,No comparable data available
zcta,36564,2022,,,0,,,,,,,,No comparable data available
zcta,78712,2022,,12.9,27,,,,,,,,No comparable data available
zcta,33744,2022,,35.2,25,,,,,,,,No comparable data available
zcta,70825,2022,,,0,,,,,,,,No comparable data available
zcta,36008,2022,,,0,,,,,,,,No comparable data available
zcta,26210,2022,,,0,,,,,,,,No comparable data available
zcta,25908,2022,,,0,,,,,,,,No comparable data available
zcta,10271,2022,,,0,,,,,,,,No comparable data available
zcta,39173,2022,,,0,,,,,,,,No comparable data available
zcta,94575,2022,,7.9,83,,,,,,,,No comparable data available
zcta,27412,2022,,45.1,1398,,,,,,,,No comparable data available
zcta,85734,2022,,16.6,876,,,,,,,,No comparable data available
zcta,31524,2022,,,0,,,,,,,,No comparable data available
zcta,30609,2022,,11.3,398,,,,,,,,No comparable data available
